Gender,Race_Ethnicity,Parental_Level_of_Education,Lunch,Test_Preparation,Maths_Score,Reading_Score,Writing_Score
Male,Group B,master's degree,Free/Reduced,None,7,87,52
Female,Group A,high school,Standard,None,43,34,68
Male,Group A,associate's degree,Free/Reduced,None,1,58,36
Female,Group D,some high school,Free/Reduced,Completed,31,65,24
Female,Group C,bachelor's degree,Free/Reduced,Completed,58,82,4
Female,Group A,some college,Standard,Completed,20,72,34
Female,Group A,high school,Standard,Completed,72,8,65
Male,Group B,some high school,Free/Reduced,Completed,29,4,76
Male,Group A,some college,Standard,None,96,28,91
Female,Group A,associate's degree,Free/Reduced,Completed,39,86,48
Male,Group D,master's degree,Standard,None,74,21,71
Male,Group E,high school,Standard,None,66,46,74
Female,Group E,some college,Standard,None,28,88,43
Female,Group A,high school,Standard,None,14,93,26
Female,Group B,bachelor's degree,Free/Reduced,None,79,43,63
Female,Group A,some high school,Free/Reduced,Completed,44,82,27
Male,Group A,bachelor's degree,Free/Reduced,None,43,64,96
Male,Group B,master's degree,Free/Reduced,None,67,63,91
Male,Group C,some college,Free/Reduced,None,76,81,71
Female,Group D,associate's degree,Standard,Completed,16,40,58
Female,Group A,some college,Free/Reduced,None,90,48,40
Female,Group A,associate's degree,Standard,Completed,43,35,89
Male,Group D,some college,Free/Reduced,None,86,90,45
Female,Group D,high school,Free/Reduced,Completed,57,57,10
Female,Group C,some high school,Standard,None,51,50,57
Male,Group C,associate's degree,Standard,None,71,7,69
Male,Group D,associate's degree,Free/Reduced,None,3,92,29
Male,Group A,bachelor's degree,Free/Reduced,Completed,44,31,4
Male,Group E,associate's degree,Standard,None,57,4,84
Male,Group D,high school,Standard,Completed,80,56,23
Female,Group A,high school,Free/Reduced,Completed,51,95,35
Male,Group A,some high school,Free/Reduced,None,35,26,5
Male,Group C,some college,Free/Reduced,None,27,3,57
Male,Group D,associate's degree,Standard,None,69,40,98
Female,Group E,master's degree,Standard,None,100,63,56
Female,Group C,some high school,Free/Reduced,None,16,92,41
Female,Group C,some college,Free/Reduced,Completed,78,70,77
Female,Group A,associate's degree,Free/Reduced,Completed,41,52,66
Male,Group C,some high school,Free/Reduced,Completed,74,10,50
Male,Group A,some college,Free/Reduced,Completed,84,18,75
Female,Group E,some college,Free/Reduced,None,85,67,92
Male,Group D,high school,Standard,Completed,49,17,61
Male,Group D,high school,Free/Reduced,None,17,45,72
Female,Group A,bachelor's degree,Free/Reduced,Completed,5,99,93
Female,Group D,bachelor's degree,Standard,None,50,1,85
Female,Group E,bachelor's degree,Free/Reduced,Completed,90,67,77
Male,Group B,high school,Free/Reduced,Completed,62,27,31
Male,Group A,some college,Standard,None,31,38,36
Male,Group D,bachelor's degree,Free/Reduced,None,73,19,19
Female,Group E,high school,Free/Reduced,Completed,67,31,4
Female,Group A,some college,Standard,None,2,58,73
Male,Group C,some college,Standard,None,47,69,77
Female,Group C,master's degree,Standard,None,19,35,68
Male,Group E,bachelor's degree,Standard,Completed,93,100,40
Male,Group A,some high school,Free/Reduced,None,79,7,90
Female,Group E,some college,Standard,Completed,1,23,52
Male,Group A,some college,Free/Reduced,None,67,63,68
Female,Group D,some high school,Free/Reduced,None,100,54,46
Female,Group B,bachelor's degree,Free/Reduced,Completed,26,64,81
Female,Group C,high school,Standard,None,60,73,18
Female,Group B,high school,Standard,None,45,89,21
Male,Group A,associate's degree,Standard,None,65,59,32
Female,Group D,high school,Standard,None,6,45,78
Female,Group B,master's degree,Free/Reduced,Completed,100,36,52
Female,Group B,bachelor's degree,Standard,None,58,25,73
Male,Group D,master's degree,Standard,Completed,7,34,60
Female,Group C,bachelor's degree,Standard,Completed,71,55,7
Male,Group A,some college,Free/Reduced,Completed,40,52,95
Female,Group D,some college,Free/Reduced,Completed,76,66,58
Male,Group A,some high school,Standard,None,47,73,1
Female,Group A,master's degree,Standard,None,91,6,57
Female,Group D,bachelor's degree,Standard,Completed,26,12,99
Male,Group B,bachelor's degree,Standard,Completed,9,49,46
Female,Group B,bachelor's degree,Standard,Completed,32,32,85
Female,Group A,some college,Standard,Completed,6,76,51
Female,Group E,master's degree,Standard,None,65,84,31
Female,Group E,some high school,Standard,None,0,60,51
Male,Group D,associate's degree,Free/Reduced,Completed,93,69,39
Female,Group A,associate's degree,Free/Reduced,Completed,1,21,3
Female,Group C,master's degree,Standard,None,40,9,38
Male,Group C,associate's degree,Free/Reduced,None,12,9,94
Male,Group E,some college,Free/Reduced,None,21,2,15
Female,Group A,associate's degree,Free/Reduced,None,29,93,11
Female,Group B,bachelor's degree,Free/Reduced,Completed,18,57,27
Female,Group D,high school,Standard,Completed,16,34,6
Female,Group A,master's degree,Free/Reduced,None,4,19,97
Female,Group D,associate's degree,Free/Reduced,None,44,31,88
Male,Group D,some college,Standard,Completed,4,15,23
Female,Group E,high school,Standard,None,10,84,69
Male,Group C,bachelor's degree,Free/Reduced,None,62,75,68
Male,Group A,bachelor's degree,Free/Reduced,None,42,75,7
Male,Group D,associate's degree,Free/Reduced,Completed,18,5,61
Male,Group C,bachelor's degree,Free/Reduced,Completed,16,65,59
Male,Group B,master's degree,Standard,None,91,84,64
Male,Group B,high school,Free/Reduced,None,9,17,92
Male,Group D,some high school,Standard,Completed,53,41,49
Male,Group A,master's degree,Free/Reduced,None,8,38,49
Female,Group E,bachelor's degree,Standard,Completed,19,97,88
Male,Group A,high school,Standard,None,38,32,17
Male,Group A,high school,Standard,Completed,53,17,91
Female,Group A,high school,Standard,None,34,96,75
Female,Group E,some high school,Standard,None,82,74,38
Male,Group E,associate's degree,Free/Reduced,None,0,75,100
Male,Group B,associate's degree,Standard,Completed,16,84,55
Male,Group C,master's degree,Free/Reduced,None,54,54,61
Female,Group E,master's degree,Free/Reduced,Completed,38,75,84
Female,Group A,associate's degree,Free/Reduced,Completed,44,100,31
Male,Group C,high school,Free/Reduced,Completed,65,99,98
Male,Group E,associate's degree,Free/Reduced,Completed,89,1,10
Female,Group A,bachelor's degree,Free/Reduced,None,93,63,34
Male,Group E,high school,Standard,Completed,31,54,99
Male,Group B,master's degree,Standard,None,80,29,54
Female,Group A,bachelor's degree,Free/Reduced,Completed,87,9,6
Male,Group A,some college,Standard,Completed,4,31,2
Female,Group A,high school,Free/Reduced,Completed,81,85,47
Female,Group E,master's degree,Standard,Completed,40,65,17
Male,Group A,master's degree,Standard,None,89,0,59
Female,Group A,some high school,Free/Reduced,None,89,17,69
Male,Group E,high school,Free/Reduced,Completed,1,76,64
Female,Group E,associate's degree,Standard,None,56,35,73
Female,Group A,some college,Free/Reduced,None,8,0,41
Male,Group A,high school,Standard,None,71,95,41
Male,Group B,bachelor's degree,Free/Reduced,Completed,53,32,75
Male,Group D,some high school,Standard,None,72,62,25
Male,Group D,some high school,Standard,None,35,48,67
Female,Group D,some high school,Free/Reduced,None,49,60,22
Male,Group B,master's degree,Free/Reduced,None,77,41,50
Female,Group E,some college,Standard,Completed,91,0,18
Female,Group D,high school,Free/Reduced,None,24,50,20
Male,Group B,bachelor's degree,Free/Reduced,Completed,25,37,57
Female,Group B,master's degree,Free/Reduced,None,50,48,49
Female,Group E,associate's degree,Standard,None,54,24,72
Female,Group A,master's degree,Free/Reduced,None,22,14,47
Male,Group B,some high school,Standard,Completed,4,84,59
Male,Group A,associate's degree,Standard,Completed,22,64,42
Male,Group E,high school,Standard,None,36,4,12
Male,Group E,high school,Standard,None,54,98,96
Female,Group C,high school,Standard,None,29,54,23
Male,Group C,master's degree,Standard,Completed,53,65,8
Female,Group E,some high school,Standard,None,36,40,46
Female,Group E,master's degree,Standard,None,83,16,23
Female,Group A,high school,Free/Reduced,Completed,6,76,57
Male,Group D,some college,Free/Reduced,Completed,86,63,42
Female,Group D,some college,Free/Reduced,None,69,59,32
Female,Group D,some high school,Free/Reduced,None,1,19,43
Male,Group D,high school,Free/Reduced,None,0,24,34
Male,Group E,associate's degree,Free/Reduced,Completed,55,55,68
Male,Group B,some college,Free/Reduced,None,43,13,85
Female,Group E,some college,Free/Reduced,Completed,83,6,48
Female,Group A,some college,Free/Reduced,None,97,70,59
Female,Group D,high school,Free/Reduced,Completed,14,37,4
Female,Group E,high school,Free/Reduced,Completed,70,53,52
Male,Group D,bachelor's degree,Standard,Completed,25,29,65
Male,Group B,associate's degree,Free/Reduced,None,47,98,90
Male,Group E,some high school,Free/Reduced,Completed,95,10,40
Male,Group B,master's degree,Standard,Completed,12,34,11
Female,Group A,some high school,Free/Reduced,None,78,66,88
Male,Group B,some high school,Standard,None,11,23,5
Male,Group E,bachelor's degree,Free/Reduced,Completed,67,42,28
Female,Group A,some college,Free/Reduced,None,7,15,96
Male,Group C,associate's degree,Standard,Completed,1,22,79
Female,Group E,master's degree,Free/Reduced,None,60,14,7
Male,Group B,high school,Free/Reduced,None,28,29,95
Male,Group A,some high school,Free/Reduced,Completed,54,45,6
Male,Group B,some college,Standard,None,96,39,84
Female,Group D,master's degree,Free/Reduced,None,59,17,9
Female,Group D,some high school,Standard,Completed,49,71,76
Male,Group C,master's degree,Free/Reduced,None,51,60,87
Male,Group D,some high school,Free/Reduced,None,19,93,92
Male,Group E,master's degree,Free/Reduced,None,6,36,13
Male,Group B,some high school,Free/Reduced,None,64,67,78
Male,Group C,some high school,Free/Reduced,Completed,72,31,54
Female,Group C,associate's degree,Free/Reduced,Completed,91,46,41
Male,Group B,master's degree,Free/Reduced,None,21,74,11
Male,Group B,associate's degree,Standard,Completed,31,33,25
Female,Group D,some high school,Free/Reduced,None,81,94,10
Female,Group C,master's degree,Free/Reduced,None,19,7,40
Male,Group B,master's degree,Standard,None,91,14,85
Female,Group E,high school,Free/Reduced,None,17,87,70
Female,Group C,high school,Free/Reduced,None,84,20,59
Male,Group E,bachelor's degree,Free/Reduced,Completed,87,92,14
Female,Group A,some college,Standard,None,42,85,24
Female,Group A,bachelor's degree,Standard,None,36,13,80
Female,Group E,high school,Free/Reduced,Completed,48,35,94
Male,Group E,associate's degree,Standard,Completed,65,56,51
Female,Group E,high school,Standard,Completed,34,67,26
Female,Group C,bachelor's degree,Free/Reduced,Completed,32,54,68
Female,Group C,high school,Free/Reduced,Completed,45,72,47
Female,Group D,some high school,Free/Reduced,None,95,59,31
Female,Group D,some college,Free/Reduced,None,18,15,47
Female,Group E,some college,Standard,Completed,3,20,53
Female,Group C,some high school,Free/Reduced,None,67,37,79
Male,Group A,master's degree,Standard,None,27,92,8
Male,Group B,bachelor's degree,Free/Reduced,None,93,21,96
Female,Group D,master's degree,Standard,None,60,0,68
Male,Group B,bachelor's degree,Standard,None,51,13,5
Male,Group D,high school,Free/Reduced,None,85,57,0
Male,Group C,some high school,Standard,None,0,43,89
Male,Group D,high school,Standard,Completed,83,30,5
Female,Group B,high school,Standard,None,12,64,16
Male,Group E,some high school,Standard,None,2,95,94
Male,Group B,high school,Free/Reduced,Completed,24,85,45
Female,Group B,some college,Free/Reduced,Completed,59,49,25
Male,Group B,some high school,Standard,Completed,85,94,73
Male,Group C,some high school,Free/Reduced,None,31,53,64
Male,Group A,high school,Free/Reduced,None,86,17,74
Male,Group C,some college,Free/Reduced,None,5,61,59
Male,Group D,high school,Standard,Completed,35,18,100
Male,Group E,master's degree,Standard,None,37,64,93
Female,Group D,high school,Free/Reduced,Completed,37,17,5
Male,Group A,high school,Free/Reduced,Completed,73,48,4
Male,Group D,some college,Standard,None,82,4,53
Male,Group C,bachelor's degree,Free/Reduced,Completed,95,49,47
Female,Group B,some high school,Free/Reduced,Completed,10,83,18
Female,Group E,some college,Standard,Completed,59,46,25
Male,Group D,some college,Standard,Completed,10,82,52
Male,Group C,master's degree,Free/Reduced,None,49,83,60
Male,Group B,master's degree,Free/Reduced,Completed,54,31,30
Female,Group A,some college,Free/Reduced,Completed,16,62,47
Female,Group A,associate's degree,Free/Reduced,None,3,86,5
Female,Group E,high school,Free/Reduced,Completed,89,79,45
Female,Group D,master's degree,Standard,None,3,14,93
Female,Group D,bachelor's degree,Free/Reduced,Completed,31,10,97
Female,Group E,some high school,Free/Reduced,None,46,19,13
Female,Group D,some high school,Standard,Completed,81,17,74
Male,Group A,master's degree,Free/Reduced,Completed,87,84,33
Male,Group D,master's degree,Free/Reduced,Completed,94,34,80
Male,Group D,some high school,Free/Reduced,Completed,18,59,99
Female,Group A,high school,Standard,Completed,19,60,83
Male,Group A,some high school,Standard,None,35,82,66
Female,Group E,high school,Standard,Completed,77,78,18
Male,Group E,associate's degree,Free/Reduced,Completed,91,71,39
Female,Group D,associate's degree,Standard,Completed,26,6,46
Female,Group A,master's degree,Free/Reduced,Completed,98,54,77
Female,Group A,master's degree,Standard,Completed,93,86,69
Male,Group B,master's degree,Standard,None,16,40,64
Male,Group B,master's degree,Standard,Completed,51,57,55
Female,Group D,some college,Standard,None,11,9,27
Female,Group A,master's degree,Free/Reduced,Completed,93,2,71
Female,Group C,high school,Free/Reduced,Completed,22,97,36
Female,Group B,master's degree,Free/Reduced,None,52,57,59
Male,Group E,some high school,Free/Reduced,Completed,68,32,74
Male,Group B,some college,Standard,None,9,75,12
Male,Group A,high school,Standard,None,84,11,54
Female,Group A,bachelor's degree,Free/Reduced,Completed,25,70,88
Male,Group A,bachelor's degree,Free/Reduced,None,7,54,4
Female,Group B,master's degree,Standard,None,29,53,55
Female,Group A,master's degree,Free/Reduced,Completed,24,9,69
Male,Group C,some college,Free/Reduced,Completed,17,87,26
Male,Group D,master's degree,Standard,Completed,11,51,35
Female,Group C,bachelor's degree,Free/Reduced,Completed,3,89,67
Female,Group B,high school,Standard,None,82,65,19
Male,Group A,some high school,Standard,Completed,73,13,34
Male,Group E,some high school,Free/Reduced,None,7,72,93
Female,Group A,master's degree,Free/Reduced,Completed,7,51,5
Female,Group C,high school,Standard,Completed,32,72,91
Female,Group B,master's degree,Standard,Completed,76,80,66
Male,Group B,some college,Free/Reduced,Completed,11,93,98
Female,Group E,bachelor's degree,Standard,Completed,94,76,79
Male,Group D,some high school,Standard,None,49,93,68
Male,Group C,some college,Standard,Completed,30,85,44
Male,Group E,high school,Free/Reduced,Completed,53,13,62
Female,Group B,bachelor's degree,Standard,None,73,58,54
Male,Group B,associate's degree,Standard,Completed,59,21,52
Female,Group E,some college,Free/Reduced,None,76,20,35
Male,Group E,bachelor's degree,Standard,None,83,47,7
Female,Group E,some college,Standard,Completed,63,45,74
Male,Group A,some high school,Free/Reduced,Completed,56,38,0
Female,Group B,master's degree,Free/Reduced,Completed,8,52,84
Male,Group E,bachelor's degree,Standard,None,78,86,79
Female,Group E,high school,Standard,Completed,33,99,89
Female,Group E,associate's degree,Free/Reduced,None,92,15,44
Male,Group D,some high school,Free/Reduced,Completed,80,89,25
Male,Group A,master's degree,Standard,None,81,78,94
Female,Group E,some high school,Standard,Completed,34,41,89
Male,Group A,high school,Free/Reduced,Completed,66,67,66
Male,Group A,bachelor's degree,Free/Reduced,None,27,22,27
Male,Group E,master's degree,Free/Reduced,None,81,31,94
Female,Group E,master's degree,Free/Reduced,None,49,47,55
Male,Group D,associate's degree,Free/Reduced,None,13,76,35
Female,Group E,bachelor's degree,Standard,Completed,25,49,95
Male,Group B,associate's degree,Free/Reduced,Completed,10,6,60
Male,Group A,bachelor's degree,Free/Reduced,None,77,4,73
Male,Group A,associate's degree,Free/Reduced,Completed,95,73,58
Male,Group A,associate's degree,Standard,None,9,71,8
Female,Group D,high school,Free/Reduced,Completed,4,33,24
Female,Group D,high school,Free/Reduced,None,95,14,87
Male,Group B,master's degree,Free/Reduced,Completed,53,3,22
Female,Group C,bachelor's degree,Standard,Completed,100,65,10
Male,Group D,master's degree,Free/Reduced,Completed,100,100,22
Female,Group D,some college,Standard,None,53,80,42
Female,Group B,master's degree,Free/Reduced,None,13,71,86
Female,Group E,bachelor's degree,Standard,None,70,58,92
Female,Group E,some high school,Standard,Completed,0,13,77
Male,Group C,some college,Standard,Completed,60,11,55
Male,Group B,bachelor's degree,Free/Reduced,None,85,98,50
Male,Group D,associate's degree,Free/Reduced,Completed,53,68,35
Male,Group C,associate's degree,Free/Reduced,Completed,86,19,43
Female,Group D,some college,Free/Reduced,Completed,92,49,65
Female,Group B,bachelor's degree,Free/Reduced,Completed,15,33,20
Male,Group A,high school,Standard,None,17,27,79
Female,Group D,bachelor's degree,Free/Reduced,None,78,30,98
Male,Group C,associate's degree,Free/Reduced,Completed,48,39,27
Female,Group E,high school,Standard,Completed,68,16,46
Female,Group C,master's degree,Standard,Completed,41,46,11
Female,Group B,bachelor's degree,Standard,None,46,78,58
Male,Group E,associate's degree,Free/Reduced,None,73,57,60
Female,Group B,master's degree,Standard,Completed,18,87,43
Male,Group C,bachelor's degree,Free/Reduced,Completed,29,49,27
Female,Group D,some high school,Standard,Completed,75,68,47
Male,Group D,some college,Free/Reduced,None,23,36,58
Male,Group A,master's degree,Standard,None,58,15,79
Male,Group A,high school,Standard,None,52,75,82
Female,Group D,master's degree,Standard,Completed,36,99,85
Male,Group B,some college,Free/Reduced,None,21,33,61
Female,Group D,some college,Standard,Completed,95,51,11
Female,Group A,high school,Free/Reduced,Completed,92,78,35
Female,Group D,some college,Free/Reduced,None,89,11,41
Female,Group A,some high school,Free/Reduced,None,75,25,30
Female,Group C,associate's degree,Standard,Completed,0,10,48
Male,Group E,some college,Free/Reduced,None,50,27,53
Male,Group B,master's degree,Standard,Completed,90,86,10
Female,Group A,some college,Standard,Completed,13,77,58
Male,Group A,master's degree,Standard,Completed,85,54,43
Female,Group D,high school,Standard,None,71,33,21
Male,Group B,some high school,Standard,None,99,80,60
Female,Group D,associate's degree,Free/Reduced,None,66,15,58
Female,Group E,high school,Standard,None,19,19,87
Female,Group A,high school,Free/Reduced,None,79,74,38
Female,Group C,some college,Standard,None,58,90,83
Female,Group D,associate's degree,Standard,Completed,69,54,17
Female,Group B,some high school,Free/Reduced,None,87,67,92
Female,Group D,some high school,Standard,Completed,87,28,52
Male,Group B,bachelor's degree,Standard,Completed,66,71,79
Female,Group B,master's degree,Standard,Completed,10,95,57
Female,Group C,associate's degree,Free/Reduced,None,73,43,50
Female,Group B,bachelor's degree,Standard,None,91,61,82
Female,Group A,some high school,Free/Reduced,Completed,30,62,58
Female,Group A,master's degree,Standard,Completed,48,69,91
Male,Group E,high school,Standard,None,47,60,14
Female,Group A,some high school,Standard,None,51,10,69
Female,Group E,some high school,Free/Reduced,None,37,5,86
Female,Group D,high school,Free/Reduced,Completed,23,42,96
Female,Group A,associate's degree,Free/Reduced,None,23,44,86
Male,Group C,some high school,Free/Reduced,None,78,44,56
Female,Group B,bachelor's degree,Free/Reduced,None,33,77,78
Female,Group A,bachelor's degree,Free/Reduced,None,85,12,95
Male,Group C,master's degree,Free/Reduced,Completed,29,35,34
Female,Group E,master's degree,Free/Reduced,None,28,4,95
Female,Group B,bachelor's degree,Free/Reduced,None,35,38,2
Female,Group E,some high school,Free/Reduced,None,31,97,66
Female,Group C,associate's degree,Free/Reduced,Completed,92,10,53
Male,Group E,some high school,Standard,Completed,68,22,1
Female,Group C,some college,Standard,Completed,58,49,11
Female,Group A,bachelor's degree,Standard,None,95,51,43
Female,Group B,some college,Standard,None,79,57,32
Female,Group A,bachelor's degree,Standard,None,92,74,26
Male,Group C,some college,Standard,Completed,48,67,39
Female,Group A,associate's degree,Standard,None,38,47,100
Female,Group E,some college,Standard,None,11,57,95
Female,Group B,associate's degree,Standard,Completed,49,61,26
Male,Group B,high school,Free/Reduced,Completed,93,49,4
Female,Group D,high school,Free/Reduced,Completed,58,64,95
Female,Group B,master's degree,Free/Reduced,None,44,48,34
Female,Group D,high school,Free/Reduced,Completed,44,34,65
Female,Group A,some college,Standard,Completed,13,6,52
Male,Group D,high school,Standard,Completed,80,44,1
Male,Group E,some high school,Standard,Completed,51,1,42
Female,Group B,master's degree,Free/Reduced,Completed,50,28,0
Female,Group B,some high school,Standard,None,54,40,16
Female,Group C,some high school,Standard,Completed,13,49,9
Male,Group B,high school,Free/Reduced,None,70,44,0
Female,Group C,master's degree,Standard,None,24,73,18
Female,Group D,some college,Standard,Completed,79,18,37
Female,Group E,high school,Free/Reduced,None,35,30,6
Male,Group E,some college,Standard,Completed,76,2,16
Female,Group B,some college,Standard,Completed,12,5,85
Male,Group D,some college,Standard,Completed,58,76,83
Male,Group C,bachelor's degree,Standard,Completed,22,44,39
Female,Group D,bachelor's degree,Free/Reduced,None,59,20,4
Female,Group D,some high school,Standard,Completed,20,97,78
Male,Group C,associate's degree,Free/Reduced,Completed,43,5,36
Female,Group E,associate's degree,Free/Reduced,Completed,76,68,47
Male,Group D,master's degree,Free/Reduced,Completed,60,46,58
Female,Group A,some college,Standard,Completed,49,91,100
Female,Group B,associate's degree,Standard,Completed,30,21,66
Male,Group A,some college,Standard,Completed,73,30,6
Male,Group A,master's degree,Free/Reduced,Completed,95,52,25
Male,Group E,high school,Free/Reduced,Completed,81,31,39
Male,Group C,high school,Standard,Completed,20,68,74
Male,Group B,bachelor's degree,Free/Reduced,None,85,28,13
Male,Group B,some high school,Free/Reduced,Completed,100,13,69
Female,Group A,associate's degree,Free/Reduced,None,44,1,58
Male,Group C,some college,Free/Reduced,None,14,92,32
Male,Group D,bachelor's degree,Free/Reduced,None,66,47,2
Male,Group D,some college,Free/Reduced,Completed,13,26,58
Male,Group A,high school,Free/Reduced,None,1,38,6
Male,Group D,some high school,Free/Reduced,None,86,92,41
Male,Group C,some college,Free/Reduced,Completed,22,18,98
Female,Group C,associate's degree,Standard,None,28,62,12
Female,Group E,master's degree,Standard,None,29,30,88
Female,Group D,some college,Standard,None,42,47,7
Male,Group A,some college,Standard,Completed,56,50,18
Female,Group A,some college,Standard,Completed,48,92,87
Female,Group E,high school,Free/Reduced,None,54,87,37
Male,Group A,some high school,Standard,None,63,54,53
Female,Group E,bachelor's degree,Standard,None,15,65,71
Male,Group C,high school,Standard,None,95,41,42
Male,Group A,some college,Standard,None,58,40,46
Female,Group D,master's degree,Free/Reduced,None,3,100,15
Female,Group B,associate's degree,Free/Reduced,None,100,26,62
Female,Group A,some high school,Free/Reduced,Completed,12,50,62
Male,Group B,bachelor's degree,Standard,Completed,11,64,49
Female,Group B,some college,Standard,Completed,61,40,9
Female,Group A,bachelor's degree,Standard,Completed,7,1,35
Female,Group D,some high school,Free/Reduced,Completed,96,72,91
Male,Group C,associate's degree,Standard,None,23,46,75
Male,Group A,associate's degree,Standard,None,41,88,93
Female,Group A,master's degree,Standard,None,56,100,3
Male,Group B,bachelor's degree,Standard,None,81,45,58
Female,Group C,some high school,Standard,Completed,48,39,58
Female,Group C,master's degree,Standard,None,30,69,89
Male,Group D,high school,Free/Reduced,Completed,9,23,32
Male,Group E,high school,Free/Reduced,None,2,96,71
Male,Group C,bachelor's degree,Standard,Completed,61,79,48
Male,Group E,some high school,Standard,Completed,63,1,41
Female,Group A,some high school,Free/Reduced,Completed,32,40,96
Male,Group E,associate's degree,Free/Reduced,Completed,10,81,72
Female,Group E,master's degree,Standard,None,31,3,46
Female,Group A,some college,Free/Reduced,Completed,52,39,100
Male,Group E,some college,Free/Reduced,None,92,56,48
Male,Group A,master's degree,Free/Reduced,Completed,51,1,84
Male,Group D,some high school,Free/Reduced,Completed,83,76,80
Female,Group D,associate's degree,Free/Reduced,Completed,40,0,72
Male,Group E,some college,Free/Reduced,None,4,31,47
Male,Group E,associate's degree,Free/Reduced,Completed,55,81,23
Male,Group C,bachelor's degree,Free/Reduced,None,88,98,53
Female,Group C,high school,Free/Reduced,Completed,31,21,50
Female,Group D,master's degree,Standard,None,40,98,15
Male,Group C,some college,Free/Reduced,Completed,45,91,98
Female,Group E,bachelor's degree,Free/Reduced,Completed,91,74,12
Male,Group A,associate's degree,Standard,None,69,32,55
Male,Group E,some college,Standard,Completed,8,61,93
Female,Group A,master's degree,Standard,Completed,67,84,63
Female,Group D,master's degree,Standard,None,87,35,96
Female,Group A,some high school,Free/Reduced,None,35,52,82
Female,Group C,associate's degree,Standard,Completed,4,30,12
Male,Group A,some college,Free/Reduced,Completed,38,79,88
Female,Group A,some college,Free/Reduced,None,3,69,50
Male,Group D,associate's degree,Standard,None,57,87,74
Female,Group D,high school,Standard,Completed,42,67,6
Male,Group D,high school,Free/Reduced,None,30,83,24
Male,Group D,master's degree,Standard,None,94,25,30
Male,Group B,bachelor's degree,Free/Reduced,None,37,82,15
Male,Group A,high school,Standard,None,91,65,26
Male,Group B,high school,Free/Reduced,None,65,34,67
Male,Group E,high school,Standard,None,96,17,24
Female,Group A,bachelor's degree,Standard,Completed,70,93,97
Female,Group A,associate's degree,Standard,None,82,9,73
Male,Group C,bachelor's degree,Free/Reduced,None,48,87,77
Female,Group A,associate's degree,Standard,Completed,45,93,70
Female,Group D,associate's degree,Free/Reduced,None,12,13,49
Male,Group D,some college,Standard,None,16,4,55
Male,Group A,master's degree,Free/Reduced,Completed,86,50,44
